"marca","prezzo","cilindrata","cavalli","lunghezza","larghezza","peso","velocita","cons_strada","cons_urbano","affidabilita"
"A155","29,9",1773,126,440,170,1325,200,"8,4","9,5",136
"AU80","34,2",1595,101,448,170,1270,178,"8,8","10,5",408
"BMW3","40,1",1796,115,443,170,1205,201,"7,6","9,6",127
"CXAN","29,4",1761,101,444,176,1176,188,"7,1","10,3",118
"TEMP","31,6",1756,101,435,170,1200,188,"8,3","10,5",305
"MOND","31,5",1796,111,448,175,1305,195,"7,1","10,6",95
"DELT","29,1",1756,103,401,170,1200,185,"8,8",11,175
"DEDR","31,1",1750,101,434,170,1255,180,8,10,184
"PRIM","28,1",1597,102,446,170,1190,176,"7,7","8,9",161
"VECT",31,1796,90,435,170,1124,183,"7,1","10,2",295
"P405","28,5",1580,88,440,169,1080,173,"8,1","9,8",280
"RE21","29,5",1721,93,469,173,1075,185,8,"10,8",350
"GOLF","28,5",1781,90,434,170,1115,180,"7,6","9,9",96
"PASS",32,1781,90,461,172,1220,178,"7,4","10,4",344
"VOL4","32,4",1721,102,444,169,1086,180,"7,4","10,3",148
